,comment,status
55,"Atmosphere was cool, I liked the old feel of it, huge problem was the waiting, the place seemed super inefficient. Was waiting for simple hot dog, fries and a shake for almost an hour. The hot dog was really soggy probably from sitting around.  There was several drinks sitting around and no one was trying to figure out who the drinks belong to. The pasta that I tried was alright.",0
56,"Very good experience, was concerned about trying the famous Chicago hotdog but I was pleasantly surprised by how good it was.  The Italian beef sandwich was delicious too",1
57,"A true Chicago eating institution. Roll up your sleeves and dig in. Service is hectic but very efficient. The whole menu is tempting, and you can't go wrong with whatever you order. Even the salad bread is delicious. Great atmosphere too. I""m just glad I don't live here, cuz I'd be there every day.",1
58,We had a family reunion (30people) in Chicago and our first nights dinner was at Portillo's. Mama T and Wes were the absolute best. They gave us an experience we will never forget!!! Food was delicious. Chocolate cake amazing. Thank you so much for making this trip a perfect memory.,1
59,"Portillo's has never disappointed me. Fast service and delicious food, you won't be disappointed!",1
60,"The Italian beef sandwiches ordered were  the  dry sandwich with gravy on the side. They were scrumptious! So tasty  they were as was the whole rack of pork ribs and Greek salad with chicken. Only thing is that you have to be patient during the dinner hour rush at abt 6:30 PM, but well worth the wait!!",1
61,"The line was ridiculous the hot dog and chocolate cake was delicious. They had no problem taking our money via one if 3 cashier lines. We waited an hour and 30 minutes for a really simple order. We even got our chocolate cake fron the bar faster. Despite standing so long my feet hurt, here I am the next day contemplating the 15 minute walk back to nab another dog while my husband sleeps in on our last full day in Chicago.",1
62,"While they are stating that the work hours is up to 12 AM in the google page, we got there around 11:15 and they were closed.
I told them to change the hours at least to not mislead people, but the lady over there was so rude and not even looked at me.
I haven’t tried the food but I bet the customer service is zero.",0
63,Great tasting Italian Beef. Very friendly staff. We always try to eat here if traveling through the area.,1
64,Very overrated! Waited 1 hour for food that wasn’t even good. I had the Italian beef and my wife had the chili cheese dog both were subpar. Staff was also rude.,0
65,It's a Chicago hot dog stand. Large menu . The cheese burger could use a more substantial bun. It disinigrates before you get half way through.,1
66,"Love this place. It's noisey, but the food is always good. You can always see employees in the dining room cleaning. I recommend the Italian beef with peppers and cheese, with extra gravy. The burgers, hot dogs, and ribs are also great. There is no table service so pay attention when the call your order number.",1
67,"Worst location ever, they literally take your order and do the exact opposite of what you ask 😂 get it together.",0
68,"I placed an order for delivery and did not receive the cheeseburger, and chicken sandwich I ordered. We ordered a small group salad and received no salad dressing. For the Italian beefs, I ordered gravy on the side and did not receive this. I have a large family and did not receive all the items I ordered. I spent $150 on food and was extremely upset I did not receive all my items. When I contacted the store after I received my incomplete order, I waited on hold to speak to a manager for over 30 minutes. This is unacceptable and I am very disappointed in the service.",0
69,"The place itself was very cool. Lots of tasteful decorations. However, the fact that the place looked nice doesn't change the fact that they cant get an order right. I asked for a ""normal hot dog with nothing on it.""
They charged me over 3 dollars for a hot dog covered in relish, peppers, and a pickle on top. They also round their dollar, so my 5.51$ meal became 6$. Not very reasonable. Service was very frantic and unorganized.",0
70,The line to order was long but the food was made fast. The Chicago style hot dog was delicious. Cheese fries was just regular nacho cheese. The chocolate cake was moist and good but not amazing like everybody was telling us.,1
71,I have been waiting for years to get to Chicago for a hot dog! Portillo's did not disappoint. Both the hot dog and the Maxwell Street Polish Sausage were incredible; almost brought tears of joy to my eyes. The atmosphere is very fun and lends itself to the whole experience.,1
72,"Cold, late, missing a meatball sub.  So your location messed up and Uber Eats is pathetic!  I'm literally watching the driver make other stops but I paid for direct delivery.  I know you can't control this part of it but your food arrived late, way late, almost an hour in the car, missing an item, and in poor condition,  it does reflect on your store.",0
73,"Really some of the best hot dogs in Chicago.  Expect a wait, a they are very popular.  But, they are also good at getting people through the line quickly.  Try the neon green relish!  It is fantastic.

Additionally, their Italian sandwich is really good.  Try THAT one with hot peppers!",1
74,Regret i only had one hot dog there. It was sosososso good!,1
75,"Fast food place, as to be expected. Food is made to order. The process is very hectic, from order, to listening to pick up your order. They need a better process, people like to crowd the counter and it is hard to retrieve your order. Otherwise the food is as good as you would expect a fast food joint. But the chocolate cake shake is a must along with the cheese fries. Could eat those for every meal.",1
76,Great place for Chicago style dogs of course! There is usually a bit of a line but the employees are super efficient and the good food is usually worth the wait. If you aren't super into meat they offer salads and some other veggie options as well.,1
77,"I think this place is overrated.

The bread of the hot dog is too soft. The pickled peppers are good.

The Italian beef sandwich literally only has beef in it. It can be too boring to just eat that. The hot dog has more flavors.

Order online to save waiting.",1
78,Fun place! It was very busy and the staff handled it wonderfully. The tamale and hotdog were amazing!,1
79,"Awesome dogs, but don't be fooled.   They have LOTS of other great options as well.  Price right, convenience,  historical environment!!  Great family style diners!!",1
80,"One of a must eat food while in Chicago is the famous hot dog, and this place has it. It tasted good, considered cheap, but the size was relatively small. The dining place was fantastic, well decorated with a distinct American theme, and lots of seat, so not worry for a long line because the serving speed was fast.",1
81,"Very busy and waited a long time for our food. Just be aware that there are 2 different serving lines depending on what you ordered and their PA system is needing an upgrade so you probably won't hear your number called. Food was good but small portions. I can say I experienced it, but have no desire of going back.",0
82,"Visited this location 3 separate times while visiting the River North area.
The food here is good, the best item on the menu is the combo beef and grilled sausage sandwich, the hot dog is really nothing special and the fries are decent.
My biggest issue with this place is how they handle your order since it can be confusing to first time visitors.  There are multiple stations to pick-up your food and while one item may be ready and called, other items on the order, like a salad are not ready and need to picked up at a different counter.  of course they don't tell you this when you order and when you question about the missing item they treat you rudely.  customer service here is really lacking, i guess they don't think they need to be nice to customers since they are so busy.",1
83,"Must try,  Italian beef sandwich was great and very reasonably price",1
84,"As someone who grew up going to Portillo's in the suburbs, I still find myself drawn to it in the city, despite the many, MANY other options. It's all just okay, and occasionally they make the fries just as I remember. Overall, this particular location is just almost always busy, and the drive thru can feel a bit intimidating if you've never been; forced to give your order before you can see the menu (yes, I'm that person who must see a menu even if there's a 99% chance I'll order the same thing). But it's run like a well-oiled machine.

If you're looking for nostalgia, come here. If you're looking for something more closer to the real Chicago feel, I think Wiener Circle is the, umm, wiener. :)",1
85,Service was quick and the food was delicious. Definitely an interesting place to stop while visiting Chicago!,1
86,Their new spicy chicken sandwich is great. Awesome service inside too!,1
87,"Meh. Chicago dogs are definitely not something Chicago natives eat -- and nobody else should either. Went to order a beer and they had to get someone who ""was off"" to pour the thing. Really really meh.

Seems popular.. I dunno why.",1
88,"They ARE the best chili cheese dogs in Chicago!  Staff was fast, professional and courteous. We'll be back soon!",1
89,"We went for lunch and all I can say is: great food, great service, great atmosphere and great energy.  The Chicago Dawgs were perfect, the onion rings outstanding and the shakes super creamy.  The salad was also good but the lettuce was cut way too small.  Everything looked and tasted great, we will be back. A must for any Chicago visit.  BE PREPARED TO WAIT 15 - 20 MIN FOR YOUR FOOD.",1
90,"Heard great things about the hot dogs. Cashier was great and friendly. The rest of the service was horrible.  We ended up getting a refund. The girls at the salad bar had horrible service
Sunday evening, 25th order 81",0
91,"Good old Chicago food - my favourite go to is the Italian beef (SO GOOD) and onion rings (full onion slices, not minced). Plus, their chocolate cake?? *chef's kiss*",1
92,Great polish dogs and nice chill vibes inside,1
93,"Emma directed me to this spot. She remembered Portillo from a much earlier visit to the Windy City. Meety dogs and sausages

Try at least once if in Chicago.",1
94,"Do not order online from this location. They use Doordash and the restaurant employee said “yeah, they’re really bad, you shouldn’t use them.” But if you order through their website you don’t have a choice, very confused by this. Clearly the restaurant and the HQ Ops couldn’t be further removed from each other. Incompetent customer service on backend from Portillo’s Guest Service team - Lindsay is useless.

Further, their customer service line does not work (out of service 7/2-7/6 but still not back online as of 7/13??), and good luck getting through to the restaurant on the phone.",0
95,"Spaghetti and meatballs at Portillo's is delicious!
Also I liked that they ask to see your covid test card if you are dining in",1
96,"Delicious hot dogs. The menu includes many others things, But the hot dogs are the best",1
97,Never got order on time. Very rude employees,0
98,Chocolate cake shake was okay. The beef hot dog was not good.,1
99,"Was told to try it by a local cabbie, good call on his part. Food was great. We had both hot dogs and pasta. I ate it too quick to get a pic. Other than the long line of people ordering, and one rude a**hole yelling at the employees, it was a great place to chow. Kids loved it, wife loved it. Spot on. Worth the wait if they are busy! *now a must stop for us when we come to Chi-City* Get there and get some for yourself!! Enjoy!! 😀",1
100,"We ate here during the Fourth of July holidays. We had various hotdogs, all tasted great. The fries and milkshake, awesome. This location was quite busy, but they got our orders correct and to us in a reasonable time. I wish there was a Texas location.",1
101,Great cheap eats option and an absolute go to when in Chicago,1
102,"I ordered the Chicago hot dog and Italian sandwich. Both were excellent. The bun on the hot dog was a little soggy with all that went on the hot dog, but flavor very good esp. with the celery salt. The Italian beef sandwich definitely deserves to be ordered in the larger size...not because the sandwich was small, but it was that good and full of flavor.",1
103,Soggy hotdogs wrapped up in a throw-away paper wrapping. Taste soso (for a non-American). I wouldn't recommend this place to anyone wanting a traditional hand-made American hotdog :-(,0
104,"I was on my work break and saw a super long line both inside the restaurant and out to get food. I know portillos is normally fast but unfortunately I couldn’t wait like usual. I should’ve realized since it was nice out it would be crowded.  Defeated, I got out of the line when the general manager spotted me leaving and asked why. After explaining my situation, he got my food as fast as possible and I was able to get back to work in time. I did not catch his  name, but he was so kind because he really didn’t have to work with me! He clearly goes above and beyond and it’s much appreciated! Shoutout to the Ontario location ☺️",1
105,The food I did receive was good! The Italian beef was amazing. However our service was poor and multiple items on our  order were wrong or simply forgotten. Waited a total of nearly 2 hours. The poor service out weighed the good food.,0
106,"Still the leader in professional fast food. A perfect representation of Chicago fast food. The only difference at Portillo's everything is always fresh and cooked to order. The hot dogs are the best in the City, a fabulous burger that is very underrated, great Italian beef and ribs. A true Chicago gem.",1
107,What a Chicago experience! We are visiting friends who live in downtown Chicago who have been bragging on the Italian beef sandwiches and the Chicago hot dogs. So we had high expectations and were not disappointed with the food. Getting what you ordered is a bit chaotic. This is also a good place for people watching; they are always busy.,1
108,"Best dog in the country.
Every time I am in town, this makes me feel at home.",1
109,"Love the food here, and the people calling and handing out food are awesome! Sure it takes a bit, but it's a total experience and they make it fun instead of stressful. Great place for a classic Chicago dog, with lots of other good food options. Beer too if that's your thing.",1
110,"Delicious!! Definitely worth the hype! We got the Chicago style hotdogs and chocolate cake shakes, really yummy. The restaurant was beautifully decorated with nice staff. Super duper kid-friendly.  We ubered there because parking is nonexistent! LOL",1
111,"It is very popular with tourists and is very large, but that doesn't mean the food is not outstanding. We ordered a lot of items, and they were all delicious. The hot dogs, the Italian beef, and the polish sausage were all great. You will leave full.",1
112,Awesome Italian subs and the chocolate cake milkshake is delicious!,1
113,"We don't have many good eats in the USA, however - this PORTILLO'S holds up very well even if it's placed right in the middle of Budapest, Munich or Wien!!!!  Great job Portillo's Family - there is NO BETTER FAST FOOD in the USA - except maybe those vegan drive throughs in San Diego ...",1
114,"Fun Chicago experience. Lots going on inside to look at; tons of character. So many food options. I was being a tourist so asked my server to help me order. I got the Portillo hot dog - delicious and just the right amount of spicy, cheese fries (which are just fries served with a container of average hot cheese), and the chocolate cake shake which was really yummy. Great service. Pretty quick food prep. They were open late on a Sunday which was a bonus!",1
115,"Guy who took my order hated his life, messed up my drink and my sandwich, and when I got it the bread was a soggy mess. The only redeeming factor was the interesting decor.",0
116,"The food here is excellent! Got to love Portillo's. Classic Chicago dogs that are well made. This place is extremely hectic, so be ready to pay attention for your food. Overall, crazy and awesome atmosphere and I really enjoyed it.",1
117,Long wait and unorganized but the food is good.  After all you can never have enough polish sausage.,1
118,"They say everybody loves Portillos, but it was just average to me.
I would compare it to ZESTOs in the south. Zesto has the better shakes and burgers ,Portillos has the Italian steak sandwich ,hotdogs and polish sausages.
The south just doesn't do those well.",1
119,"I love the beef and cheddar croissant with sweet n hot peppers, but holy cow, be prepared to wait. Even when there isn't a huge line it usually takes about 20 minutes to get my food. I've been to sit down full service restaurants that were faster. However the end result is delicious.",1
120,"We went at lunch time and it was packed, there were lines both to order and pick up your food, however we got our food quite fast. We got a maxwell street style polish and an Italian beef sandwich which were amazing. The chocolate cake shake is good, but a bit too thick.",1
121,"Although I had a hard time biting into the hot dogs due to overwhelming sauce and toppings, I liked their hot dogs. The whole place is like a large food hall, so you could sit wherever you want and the place is kept clean.
Sausages were not too salty and perfectly cooked, but I wished there were some more veggie toppings (onions) that could balance the flavors.",1
122,"This place is not for the timid or the person afraid of loud crowds.  Take a few minutes and decide what you want before getting in line, the employees we encountered was not helpful or friendly.  The food was great and they got every part of our order correct.    For this reason we all decided we would eat there again.  They have great classic Chicago hotdogs!",1
123,Every tourist and Chicagoan should eat here at least once. I recommend the beef combo. It gives you a giant Italian sausage and italian beef in one sandwich. On your receipt there is a survey that will give you a free large fry with any purchase upon completion.,1
124,"First time I came here was for the hot dogs and they were amazing. The second time one of my friends recommended the ribs... And they did not steer me wrong. The ribs are one of the best I've tasted, very juicy and just the perfect amount of seasoning. The meat just falls off the bones. Would highly recommend this place for both the hotdogs and the ribs.",1
125,Best hot dogs in Chicago. Really nice ambience in the store. They also serve pasta here amongst lots of other things. Their Chicago style hot dogs are delicious. Their strawberry milkshake is thick and rich with real strawberry bits. We completed their online survey and got a free slice of cake.,1
126,"The beef sandwiches are awesome! Def get it with extra gravy and mixed peppers.. 🤤
Dogs were good too.",1
127,"A good place to try some ""famous"" Chicago dogs and Italian beef.  I definitely liked the interior decor, themed like an old-time Chicago.  Food was served quickly and rather inexpensive.

The food for the most part was very good, can't complain but the Italian beef was very soggy, was a bit disappointed.",1
128,"How is this as good as it is? I don't understand and I don't care. Even if you're normally picky, get the original version of the hot dog! Don't fuss with it! It's perfect and everything works together in artery-clogging harmony. The fries are always fresh too. One of my favorite Chicago traditions!",1
129,Very busy old place. It was a little tough to find seating and a little intimidating ordering the first time but it was a great experience. Must orders are the chili cheese dog and the Italian beef sandwich. Bother were delicious. The meat ball I ordered was also super juicy. Highly recommended to try.,1
130,"Love, love, love this staple for the Chicago visitor with limited time.  Stamp at least two items on your Chicago foods bingo card in one fell swoop.  Can you find better versions of Chicago-style hot dogs and Italian beef?  Certainly.  But Portillo's is reliably excellent when you don't have time to play food detective.  Please open one in northeast Atlanta!",1
131,"Cool place, ideal for latenight eats!",1
132,"The first location a relative tried in 1995 and we frequently have a craving for the hamburgers among other stuff, as its all good and despite new ownership, the quality remains top notch.",1
133,"There are so many choices and so many great horn dog stops and we are so glad we picked Portillo's!! They have a ton of other choices, even a wonderful chicken noodle soup!! The service is top notch and beyond efficient. It made me wish I could work here. Wonderful atmosphere and a must if visiting Chicago!",1
134,"My first Chicago dog experience.  Not sure what i was expecting but it was kind of like a food court.  Slightly chaotic with people swamping the food pick up area.  Be very careful when you place your order.  My son wanted a plain dog with cheese and wound up with ""the works"" plus cheese.  All in all the food was pretty good.",1
135,"Enjoyable spot for a quick meal. There's a reason it's so popular. Good food and decent prices. It was absolutely packed when we went for lunch, but it moved quickly and efficiently. My only complaint is that they got my order wrong, but they remedied the situation quickly (despite seeming unapologetic). I plan to be back for sure!",1
136,"Food was great!!!!! Customer service, horrible.",1
137,"Yikes! Walking in was overwhelming. We had no idea where to go to get a hot dog. We had to ask someone. It was definitely fast service but maybe too fast. And also they were rude. When we finally got our food and dug into it, the hot dog buns were all soggy. But the meat was good. I wish We would have gone somewhere more local. Overall, it was a good atmosphere. Won’t go back again. 👍🏽",1
138,"Go to the cashier to order, and then go to the different counters to pick up your food.

We came here to try the famous Chicago dog and dipped Italian sandwich. I was a bit underwhelmed overall. The dog was nothing special. I like a lot of toppings on my hot dog, but the beef dog, and the bun were nothing special, in my opinion.

The flavor of the sandwich was good, but I definitely don't understand the value of a dipped sandwich, resulting in a ton of soggy bread...",1
139,Really great food and a nice atmosphere.  It's a little loud inside but it's understandable with everything going on.  The line to receive food can get pretty disorganized but they did their best to keep it moving quick.  The chocolate cake shake was amazing.,1
140,Always amazing.  Ppl are great food is great,1
141,"Quite cozy and affordable place. Not very healthy food, I guess, but if you have a few minutes and want to eat in a cool place, you're welcome. Quite crowded, quite noisy, but, you know, in places like this you can feel a taste of life. Unfortunately, online orders are not so fast as you would like to. You should write down your name and wait, wait, wait...maybe 5-10 minutes on lunchtime. But everything else is acceptable. Have a good day!",1
142,"U can't go wrong with portillos unless you're gonna order online 🤣 I don't know why they had items as unavailable :( especially the cheese sauce , like that's the best part",1
143,One of my favorite places in Chicago to eat at. I love their double bacon cheeseburger. My experience was quick and the tables were nice and clean,1
